repository	ref/group	tip SHA	unique commit count	affected products	deployed-byte relationship	classification	proposed destination	safe-to-delete-later	evidence
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U004 [local:refs/heads/project/m4-integration-tests]	64b4eef86cfd2f5705f7a1e9c13a84937b971f09	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=1; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U005 [local:refs/heads/agent/final-gate-files]	782f7f036468b4be851dba02fb2d88f39e5dd470	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U006 [local:refs/heads/fix/adopted-root-rebind]	47cee2d0a6dbca46466837acdb028e213c260dee	20	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=78
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U007 [local:refs/heads/integrate/concurrent-orchestrator-20260901;local:refs/heads/main]	14786f1192faae7f163b355cb6955db70b1a1b24,747d97c426de1ff3b901438bcdc28184e83100ca	19	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=78
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U008 [local:refs/heads/project/m3-registration]	7d6110ff16f53e247d0043f54ebe615a0451f0af	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U009 [local:refs/heads/fix/completion-driven-runtime]	e206d2db6b92ed547eb4aed102bac246e883630b	15	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=65
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U010 [local:refs/heads/project/lifecycle-cancel-fix]	b7547803d4f69e49ba3a7f1932461a2c926dc3e2	13	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=57
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U011 [local:refs/heads/fix/orchestrate-wait-until-finish]	f825b2d1e879010714ae7b0dda1ffb913792747b	15	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=62
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U012 [local:refs/heads/deploy/adopted-root-rebind-recovery]	79046614e870088b832f9dd1d98495e16cfd9345	13	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=50
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U013 [local:refs/heads/integrate/recent-work-snapshot]	4f0dce52402af009425c5f174b5b214f2c9135d4	14	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=66
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U014 [local:refs/heads/integrate/recent-work-final-snapshot]	aaa010008231ad31926337fa35ff096e40be1867	14	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=68
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U015 [local:refs/heads/project/m3-integration]	dea42f563470d595cedf63b119e60e9641ca441d	2	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=2; all stable commit patch IDs occur in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U016 [local:refs/heads/agent/phase2-final-activity-agents]	f30a92181ffd6ed07cab0970a9df51075e5edb50	2	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U017 [local:refs/heads/agent/phase2-final-board]	4969179a7b972b4baeee17ad63418efb2bf7cabc	2	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=7; all stable commit patch IDs occur in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U018 [local:refs/heads/agent/phase2-final-shell-overlay]	b324ba7e1b20d84fe35b358ef1771e716cacef0e	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=10
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U019 [local:refs/heads/project/m4-question-tests]	3ce31109845568564ace72d4405ea169bac09cb8	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=1; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U020 [local:refs/heads/agent/phase2-contract-agent-activity-overlay]	9b3a10ceb4ca8c09e19c2f750a9025de557bbf49	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U021 [local:refs/heads/agent/phase2-final-render-qa]	0bf9e83fc0947d042b8ffef8d9437c91fa738d49	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U022 [local:refs/heads/agent/final-gate-signals]	c0dc6cc909b5d9a6eeec866d4a2c91accb63d506	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U023 [local:refs/heads/agent/unified-deck-tests]	29b1e545668846849efbd55bd392aba951f47898	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=11; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U024 [local:refs/heads/agent/final-gate-board]	d14a0da0fc12a83210048966ecc03b7a47be6656	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U025 [local:refs/heads/agent/unified-model-spawn]	133f42947c0c3c1501e69b07a65c7445aa739474	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=27; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U026 [local:refs/heads/agent/unified-controls-groups]	0ed0dc5a39f916dc28684d8c8847859eec8f4580	2	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=17
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U027 [local:refs/heads/agt-01m0cf6stqz6h9438gmym05aw5]	dcc67f6159129cadd43566c65200a4f09c88700e	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=9; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U028 [local:refs/heads/agent/phase2-contract-files-consumer]	59731ccb3cdcccd568bce9f716edae1b4c4a2062	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=7; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U029 [local:refs/heads/project/m3-schemas]	bd8abf7db82bd3b30ad2a5798266db35f680c949	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U030 [local:refs/heads/project/m4-artifact-tests]	6751112c6cd25421e83dfb9635ce03cc25473f29	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=1; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U031 [local:refs/heads/agent/phase2-contract-question-board]	b37ab2edaa829a6717a764629f8c7afe417a4ae9	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=14; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U032 [local:refs/heads/agent/phase2-contract-render-qa]	124c5222be536c12e129a8450ff1cafcbda3a992	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-herdr-orchestrator	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=5
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U033 [local:refs/heads/agent/unified-legacy-coordination]	f0061bcc4ed07a3ac4b3b7c6036b5f97fc2f8a0d	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=15; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U034 [local:refs/heads/agent/final-gate-render]	765b0afa1f1731bc0caae21d25b37a8261ce50fd	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=2; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U035 [local:refs/heads/project/m3-controls]	1c31ab0ea8c44cdfb909895c5b8ac25628633b65	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=2; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U001 [local:refs/heads/agent/phase2-final-signals]	0aa784d4321a585e009763385f89651e79ec3d7c	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=main-tree; trees=1; patch_sets=1; changed_paths=7; tip tree equals remote main tree; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U002 [local:refs/heads/feat/sb-014-runtime]	3e0062f14175383041265b00d4ae3aff32a834bc	2	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=7; all stable commit patch IDs occur in remote main
pi-signal-board	pi-signal-board-U003 [local:refs/heads/feat/sb-008-events]	aebbf779e914f6215d86f303f1caaffdfac5e9c5	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U004 [local:refs/heads/agent/ask-user-signals-deploy-fix-20260827]	047ab0e767a7655eb854647e09487a188952516a	2	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-signal-board	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=10
pi-signal-board	pi-signal-board-U005 [local:refs/heads/agent/ask-user-signals-provider]	3c303e5364cebf2f84ebc16ace01c0099a821569	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-signal-board	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=8
pi-signal-board	pi-signal-board-U006 [local:refs/heads/fix/m2-command-id-compat]	cf6c166d4d0d1dbf3d163497475276c220922901	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U007 [local:refs/heads/feat/sb-024-question-escalation]	17f24491ae5a38d6d6199fe1d8c01e7edfbcc457	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-signal-board	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4
pi-signal-board	pi-signal-board-U008 [local:refs/heads/feat/m0-exit-shell]	89950421ecbf307a265433a2a47869aec0d8a58b	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U009 [local:refs/heads/feat/sb-023-expiry-service]	52cc52529f3079b209bbdffef539aafb87e6ee03	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-signal-board	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=7
pi-signal-board	pi-signal-board-U010 [local:refs/heads/test/sb-004-harness]	ede8d04efaea69d5a2a52021fb45c64cee5f77b4	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=7; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U011 [local:refs/heads/feat/sb-018-ui-adapter]	e400e75ae03e3bd410d1ff148e21f5d803912b7c	3	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=9; all stable commit patch IDs occur in remote main
pi-signal-board	pi-signal-board-U012 [local:refs/heads/feat/sb-007-ids]	3617a1e600e22000b310f83eed19c11915c3e13e	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U013 [local:refs/heads/feat/sb-019-question-validation]	3673a009c1f84135876b7184b3d6ec93a8f044c8	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=2; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U014 [local:refs/heads/feat/sb-031-answer-ui]	518d434452c7dd4229732254257e7cc3290b9629	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U015 [local:refs/heads/feat/sb-005-errors]	afa147c55e4b6e1b759f8e87666026f2f3419e3c	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U016 [local:refs/heads/feat/sb-032-multiple-answer-ui]	a5fa1e7fd5e6a40e2cf288379a0aaa37ccfd5a6a	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U017 [local:refs/heads/feat/sb-015-update-service]	e1af8c4ccf4cdd7d737220b3c25b883b6c7221e0	1	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
pi-signal-board	pi-signal-board-U018 [local:refs/heads/feat/sb-016-update-tool]	98d6cb5c9eae26ef9a05f83b11e5d5f1881073d9	3	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=9; all stable commit patch IDs occur in remote main
pi-signal-board	pi-signal-board-U019 [local:refs/heads/feat/sb-010-reducer]	cb6ec654509e8b3f2905a4ef0331aaaa7214da32	2	pi-signal-board	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-signal-board	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=5; all stable commit patch IDs occur in remote main
